config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
0,20|48|96|96|192|192|192|8,5|5|5|5|5|5|5|5,11873075.127272949,10735600.16131253,10602145.749472253,25.153690338134766,7.757986545562744,6.534100407407095e-07,2.1185489913477795e-06,0.0,0.0,0.0,op_decomposed
1,3|6|13|13|26|26|26|1,4|4|4|4|4|4|4|4,73427313.09646605,66183359.485024445,65435852.618420765,53.023155212402344,25.429819107055664,3.463264306446945e-07,7.221175906124699e-07,0.0,0.0,0.0,op_decomposed
2,27|64|128|128|256|256|256|10,5|5|5|5|5|5|5|5,8445622.13519444,7630076.428054617,7536520.192153943,14.238570213317871,7.426131248474121,8.792877110863628e-07,1.6859113429745776e-06,0.0,0.0,0.0,op_decomposed
3,20|48|96|96|192|192|192|8,4|4|4|4|4|4|4|4,19256247.292439464,18003463.989236165,17712934.031579986,33.85821533203125,14.373244285583496,7.464198006346123e-07,1.7582976852281718e-06,0.0,0.0,0.0,op_decomposed
4,20|48|96|96|192|192|192|8,4|4|4|4|4|4|4|4,19256247.292439464,18003463.989236165,17712934.031579986,33.85821533203125,14.373244285583496,7.464198006346123e-07,1.7582976852281718e-06,0.0,0.0,0.0,op_decomposed
5,27|64|128|128|256|256|256|10,3|3|3|3|3|3|3|3,36562776.22038121,32914561.971805524,32332725.473778922,165.29408264160156,105.65420532226562,2.8896661206090357e-06,4.520829861576203e-06,0.0,0.0,0.0,op_decomposed
6,27|64|128|128|256|256|256|10,3|3|3|3|3|3|3|3,36562776.22038121,32914561.971805524,32332725.473778922,165.29408264160156,105.65420532226562,2.8896661206090357e-06,4.520829861576203e-06,0.0,0.0,0.0,op_decomposed
7,14|32|64|64|128|128|128|5,3|3|3|3|3|3|3|3,42017999.2964622,37561240.35872899,37123439.28231232,59.63081741333008,24.07705307006836,5.730175871576648e-07,1.419173145222885e-06,0.0,0.0,0.0,op_decomposed
8,3|6|13|13|26|26|26|1,6|6|6|6|6|6|6|6,65029999.34461805,58588747.71598791,57932171.83342016,52.83917236328125,25.416561126708984,3.908436383426306e-07,8.125353474497388e-07,0.0,0.0,0.0,op_decomposed
9,14|32|64|64|128|128|128|5,6|6|6|6|6|6|6|6,14083959.37841076,12698676.554953352,12528157.688907228,39.15084457397461,15.864887237548828,1.1264507975283777e-06,2.7798180326499278e-06,0.0,0.0,0.0,op_decomposed
10,27|64|128|128|256|256|256|10,3|3|3|3|3|3|3|3,36562776.22038121,32914561.971805524,32332725.473778922,165.29408264160156,105.65420532226562,2.8896661206090357e-06,4.520829861576203e-06,0.0,0.0,0.0,op_decomposed
11,14|32|64|64|128|128|128|5,2|2|2|2|2|2|2|2,93966516.7250212,85949344.56725378,84819125.32902503,48.546112060546875,27.335655212402344,2.9090847419865895e-07,5.166319851923618e-07,0.0,0.0,0.0,op_decomposed
12,3|6|13|13|26|26|26|1,8|8|8|8|8|8|8|8,62467372.65225911,56281182.77331105,55646860.1687759,52.8235969543457,25.416248321533203,4.0687234559300123e-07,8.456190130345931e-07,0.0,0.0,0.0,op_decomposed
13,14|32|64|64|128|128|128|5,5|5|5|5|5|5|5|5,18674501.521899756,16758073.293608047,16558614.435454493,39.77043533325195,16.216217041015625,8.683615533300326e-07,2.1296650629665237e-06,0.0,0.0,0.0,op_decomposed
14,27|64|128|128|256|256|256|10,2|2|2|2|2|2|2|2,65665700.74522442,62785525.403385215,61407227.05152445,51.53540802001953,25.535327911376953,3.8886855691089295e-07,7.84814744747564e-07,0.0,0.0,0.0,op_decomposed
15,14|32|64|64|128|128|128|5,5|5|5|5|5|5|5|5,18674501.521899756,16758073.293608047,16558614.435454493,39.77043533325195,16.216217041015625,8.683615533300326e-07,2.1296650629665237e-06,0.0,0.0,0.0,op_decomposed
16,14|32|64|64|128|128|128|5,6|6|6|6|6|6|6|6,14083959.37841076,12698676.554953352,12528157.688907228,39.15084457397461,15.864887237548828,1.1264507975283777e-06,2.7798180326499278e-06,0.0,0.0,0.0,op_decomposed
17,7|16|32|32|64|64|64|2,6|6|6|6|6|6|6|6,38612520.56522694,34992192.11109654,34533995.6472905,49.471439361572266,24.81304931640625,6.426166692108382e-07,1.2812279237550683e-06,0.0,0.0,0.0,op_decomposed
18,20|48|96|96|192|192|192|8,5|5|5|5|5|5|5|5,11873075.127272949,10735600.16131253,10602145.749472253,25.153690338134766,7.757986545562744,6.534100407407095e-07,2.1185489913477795e-06,0.0,0.0,0.0,op_decomposed
19,27|64|128|128|256|256|256|10,4|4|4|4|4|4|4|4,15885789.05214052,14760676.033297874,14529513.746018847,48.56846618652344,22.461963653564453,1.4139658333078842e-06,3.057353069380042e-06,0.0,0.0,0.0,op_decomposed
20,3|64|13|13|192|26|256|8,4|3|8|4|8|2|3|6,69413380.76901618,62657572.68682347,61887134.232079096,50.59296417236328,25.636558532714844,3.693316443786898e-07,7.288646770575724e-07,0.0,0.0,0.0,op_decomposed
21,7|16|32|128|192|26|26|5,6|5|2|4|6|4|8|2,40810495.24702648,37048418.82340087,36568301.65293966,50.15053176879883,25.51959991455078,6.253195579120074e-07,1.2288635389268165e-06,0.0,0.0,0.0,op_decomposed
22,27|32|128|32|256|256|256|5,5|2|6|5|4|6|3|4,22562559.76834754,20216743.859119777,20048293.77843859,51.07252883911133,25.21630096435547,1.1176171028637327e-06,2.2635963432549033e-06,0.0,0.0,0.0,op_decomposed
23,7|16|32|13|256|128|192|1,2|8|3|3|2|2|8|6,85996347.25533073,77807442.87482095,76868306.61284144,50.88367462158203,25.572513580322266,2.973674497752654e-07,5.916957661611377e-07,0.0,0.0,0.0,op_decomposed
24,20|64|64|128|64|64|256|8,6|4|5|5|8|8|8|4,8690691.018434435,7842328.430292827,7730097.422915779,35.595767974853516,17.004907608032227,1.9566805349313654e-06,4.095850272278767e-06,0.0,0.0,0.0,op_decomposed
25,3|32|128|13|192|256|128|2,3|2|8|4|2|8|3|4,82044836.16587816,74583578.69759718,73844862.21791638,52.7744026184082,25.52654457092285,3.111292130597576e-07,6.432385362131754e-07,0.0,0.0,0.0,op_decomposed
26,7|32|96|13|26|64|64|1,6|8|6|6|8|2|2|2,35765411.197687745,32364012.830500875,31950607.69429084,52.050941467285156,25.454076766967773,7.116953497643408e-07,1.4553429537045304e-06,0.0,0.0,0.0,op_decomposed
27,7|64|128|13|192|26|128|1,2|6|2|3|3|8|2|5,77576106.6774749,70257944.92062034,69331876.04393645,52.61656188964844,25.411426544189453,3.275677045166958e-07,6.782573223063082e-07,0.0,0.0,0.0,op_decomposed
28,7|6|13|128|192|256|26|5,2|3|2|8|4|4|5|3,104449411.16831619,94836844.05013222,93705329.388,52.69166564941406,25.54779815673828,2.4459495762130246e-07,5.04470676787605e-07,0.0,0.0,0.0,op_decomposed
29,3|64|96|13|256|26|192|2,4|4|8|5|6|3|8|8,65502052.71227276,59022114.21987243,58338889.11662635,53.15542221069336,25.33768653869629,3.868227906878019e-07,8.115077321235731e-07,0.0,0.0,0.0,op_decomposed
30,7|6|32|32|128|256|128|1,6|5|8|3|2|5|8|5,42543502.92668285,38627569.89586691,38103111.853447154,57.835357666015625,26.63525390625,6.260710279093473e-07,1.3594403753813822e-06,0.0,0.0,0.0,op_decomposed
31,27|64|64|64|192|128|64|10,8|2|5|8|2|4|8|2,14464394.699011002,12995739.627027348,12854258.45657807,53.06100082397461,26.722009658813477,1.8474336229701294e-06,3.6683870803244645e-06,0.0,0.0,0.0,op_decomposed
