config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
0,20|48|96|96|192|192|192|384|384|384|384|384|384|384|8,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,5740645084.991781,5226357257.665927,5159263086.085729,10.117515563964844,2.411902904510498,4.201449188556694e-10,1.7624354198275682e-09,0.0,0.0,0.0,op_decomposed
1,3|6|13|13|26|26|26|51|51|51|51|51|51|51|1,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,33798923887.82933,30517690392.42119,30182557722.75985,13.301734924316406,10.4240140914917,3.0841260101333035e-10,3.9355496639359444e-10,0.0,0.0,0.0,op_decomposed
2,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,4098160489.652587,3719443455.867735,3673092273.8448215,8.403313636779785,2.532940149307251,6.180675971023675e-10,2.050508651763039e-09,0.0,0.0,0.0,op_decomposed
3,20|48|96|96|192|192|192|384|384|384|384|384|384|384|8,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,11065407504.370466,10115528421.050955,9979568040.361555,10.482783317565918,4.6607818603515625,4.2120290588698595e-10,9.473472006860106e-10,0.0,0.0,0.0,op_decomposed
4,20|48|96|96|192|192|192|384|384|384|384|384|384|384|8,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,11065407504.370466,10115528421.050955,9979568040.361555,10.482783317565918,4.6607818603515625,4.2120290588698595e-10,9.473472006860106e-10,0.0,0.0,0.0,op_decomposed
5,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,17539171426.308514,15607453366.50654,15411907005.479712,12.98697280883789,10.403289794921875,5.931459767793967e-10,7.404553081791221e-10,0.0,0.0,0.0,op_decomposed
6,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,17539171426.308514,15607453366.50654,15411907005.479712,12.98697280883789,10.403289794921875,5.931459767793967e-10,7.404553081791221e-10,0.0,0.0,0.0,op_decomposed
7,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,22485877242.210293,19965150624.754177,19717259015.458237,13.295581817626953,10.259696006774902,4.5627288058902593e-10,5.912859091239397e-10,0.0,0.0,0.0,op_decomposed
8,3|6|13|13|26|26|26|51|51|51|51|51|51|51|1,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,29448826248.031662,26624572091.6571,26323315335.367416,13.55774974822998,10.47158432006836,3.5558581079619955e-10,4.603833425598225e-10,0.0,0.0,0.0,op_decomposed
9,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,6968467531.929038,6338170923.014744,6256708728.240719,11.491545677185059,5.503801345825195,7.898151577201418e-10,1.649077874255056e-09,0.0,0.0,0.0,op_decomposed
10,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,17539171426.308514,15607453366.50654,15411907005.479712,12.98697280883789,10.403289794921875,5.931459767793967e-10,7.404553081791221e-10,0.0,0.0,0.0,op_decomposed
