config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
0,20|48|96|96|192|192|192|384|384|384|384|384|384|384|8,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,994834647.0995727,946702972.9541931,934398613.0235208,8.176560401916504,1.1360375881195068,1.1419361012343643e-09,8.219014802079982e-09,0.0,0.0,0.0,op_decomposed
1,3|6|13|13|26|26|26|51|51|51|51|51|51|51|1,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,4677124793.585454,4411650281.900972,4369141198.580409,11.784802436828613,9.116950988769531,1.949264305523002e-09,2.519668251821372e-09,0.0,0.0,0.0,op_decomposed
2,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,5|5|5|5|5|5|5|5|5|5|5|5|5|5|5,918739919.3041735,874369787.292895,862951791.0148637,6.242245674133301,1.6659724712371826,1.813323380339682e-09,6.794355744688119e-09,0.0,0.0,0.0,op_decomposed
3,20|48|96|96|192|192|192|384|384|384|384|384|384|384|8,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,2016434577.1429954,1917623674.0854924,1893077139.22338,7.797028541564941,2.391202449798584,1.1858567461331404e-09,3.8667402613157265e-09,0.0,0.0,0.0,op_decomposed
4,20|48|96|96|192|192|192|384|384|384|384|384|384|384|8,4|4|4|4|4|4|4|4|4|4|4|4|4|4|4,2016434577.1429954,1917623674.0854924,1893077139.22338,7.797028541564941,2.391202449798584,1.1858567461331404e-09,3.8667402613157265e-09,0.0,0.0,0.0,op_decomposed
5,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,4391061832.771059,4155974107.931493,4104000905.1051292,12.15670108795166,9.623966217041016,2.1917172521312978e-09,2.7685105319363856e-09,0.0,0.0,0.0,op_decomposed
6,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,4391061832.771059,4155974107.931493,4104000905.1051292,12.15670108795166,9.623966217041016,2.1917172521312978e-09,2.7685105319363856e-09,0.0,0.0,0.0,op_decomposed
7,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,3992556620.2341776,3799215631.7666063,3757800584.551123,11.008040428161621,7.92854118347168,1.985830611062056e-09,2.7571407379411994e-09,0.0,0.0,0.0,op_decomposed
8,3|6|13|13|26|26|26|51|51|51|51|51|51|51|1,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,3339393202.304138,3157853730.8835273,3115580928.0574403,12.028343200683594,9.06097412109375,2.7133593150097113e-09,3.6019547344778857e-09,0.0,0.0,0.0,op_decomposed
9,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,6|6|6|6|6|6|6|6|6|6|6|6|6|6|6,728865468.3094383,687007512.2767241,677735803.3770617,8.59876537322998,4.550921440124512,6.243842776143538e-09,1.1797465226948134e-08,0.0,0.0,0.0,op_decomposed
10,27|64|128|128|256|256|256|512|512|512|512|512|512|512|10,3|3|3|3|3|3|3|3|3|3|3|3|3|3|3,4391061832.771059,4155974107.931493,4104000905.1051292,12.15670108795166,9.623966217041016,2.1917172521312978e-09,2.7685105319363856e-09,0.0,0.0,0.0,op_decomposed
11,14|32|64|64|128|128|128|256|256|256|256|256|256|256|5,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,10124741141.265032,9756568216.081095,9643541316.776688,11.789616584777832,9.680401802062988,9.561134106661484e-10,1.1644363251406276e-09,0.0,0.0,0.0,op_decomposed
12,3|6|13|13|26|26|26|51|51|51|51|51|51|51|1,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8,3075409256.5173545,2905818579.6142907,2866761688.9197445,11.926950454711914,9.051702499389648,2.943251420362003e-09,3.8781671207743784e-09,0.0,0.0,0.0,op_decomposed
