config_id,ks,bits,bound_exactH,bound_calibH,bound_pctH,err_max,err_mean,rho_mean_exactH,rho_max_exactH,violrate_exactH,violrate_calibH,violrate_pctH,mode
0,20|48|96|96|192|192|192|8,5|5|5|5|5|5|5|5,27531.96710822646,26081.10691790766,25664.403107758575,29.522342681884766,8.174787521362305,0.00029691989766433835,0.0010722932638600469,0.0,0.0,0.0,op_decomposed
1,3|6|13|13|26|26|26|1,4|4|4|4|4|4|4|4,112902.94062254966,100669.64948922629,99755.23575017451,46.5021858215332,20.105318069458008,0.00017807612312026322,0.00041187755414284766,0.0,0.0,0.0,op_decomposed
2,27|64|128|128|256|256|256|10,5|5|5|5|5|5|5|5,16779.34438502163,16124.086567993189,15827.315312710138,14.344265937805176,6.371735095977783,0.00037973682628944516,0.0008548764744773507,0.0,0.0,0.0,op_decomposed
3,20|48|96|96|192|192|192|8,4|4|4|4|4|4|4|4,40795.45875714956,38778.052569465195,38133.92800769266,32.27197265625,11.233146667480469,0.0002753528533503413,0.0007910677813924849,0.0,0.0,0.0,op_decomposed
4,20|48|96|96|192|192|192|8,4|4|4|4|4|4|4|4,40795.45875714956,38778.052569465195,38133.92800769266,32.27197265625,11.233146667480469,0.0002753528533503413,0.0007910677813924849,0.0,0.0,0.0,op_decomposed
5,27|64|128|128|256|256|256|10,3|3|3|3|3|3|3|3,67750.07659339457,64598.28074661968,63686.37737185358,47.116455078125,19.967967987060547,0.0002947298053186387,0.0006954450509510934,0.0,0.0,0.0,op_decomposed
6,27|64|128|128|256|256|256|10,3|3|3|3|3|3|3|3,67750.07659339457,64598.28074661968,63686.37737185358,47.116455078125,19.967967987060547,0.0002947298053186387,0.0006954450509510934,0.0,0.0,0.0,op_decomposed
7,14|32|64|64|128|128|128|5,3|3|3|3|3|3|3|3,105466.12617979292,98141.83073064916,97139.33393410192,44.192813873291016,18.41584014892578,0.0001746137859299779,0.00041902376688085496,0.0,0.0,0.0,op_decomposed
8,3|6|13|13|26|26|26|1,6|6|6|6|6|6|6|6,104976.69435800228,93063.43652622684,92229.48324709159,46.506248474121094,20.103837966918945,0.0001915076281875372,0.00044301498564891517,0.0,0.0,0.0,op_decomposed
9,14|32|64|64|128|128|128|5,6|6|6|6|6|6|6|6,59497.34487661554,54829.58270238885,54146.65432960859,32.50001525878906,13.50263786315918,0.00022694520885124803,0.0005462431581690907,0.0,0.0,0.0,op_decomposed
10,27|64|128|128|256|256|256|10,3|3|3|3|3|3|3|3,67750.07659339457,64598.28074661968,63686.37737185358,47.116455078125,19.967967987060547,0.0002947298053186387,0.0006954450509510934,0.0,0.0,0.0,op_decomposed
11,14|32|64|64|128|128|128|5,2|2|2|2|2|2|2|2,148730.26593742764,137567.45427873748,136115.11182090128,46.68557357788086,20.10296630859375,0.0001351639220956713,0.000313894241116941,0.0,0.0,0.0,op_decomposed
