layer,kind,k,bits,S_i,gamma_i,a_i,W_norm_i,H_im1,sigma_k1,eta_measured,predicted_full_term,empirical_sensitivity
0,conv,14,4,9121865258.575705,88118374.5212414,3.6410017013549805,3.6410017013549805,103.518310546875,0.146556556224823,0.3216543197631836,4270956523.3622947,0.8741704821586609
1,conv,32,4,1566847344.7182834,23709283.67200587,3.7166190147399902,3.7166190147399902,66.0858154296875,0.4160615801811218,0.43745800852775574,1337334901.2335463,1.2400295734405518
2,conv,64,4,330355334.1893908,6818414.484101458,3.477242946624756,3.477242946624756,48.450462341308594,0.37067991495132446,0.4160064160823822,259886025.79086587,0.7341945171356201
3,conv,64,4,26639902.670835555,962229.2837956039,7.086060047149658,7.086060047149658,27.68560791015625,0.957213282585144,0.6962974071502686,44049363.83973756,1.2026622295379639
4,conv,128,4,3993371.129639973,205508.67601604178,4.682183265686035,4.682183265686035,19.431642532348633,0.6770904064178467,0.4912777245044708,4665727.562816598,0.7495139837265015
5,conv,128,4,317631.306925718,21765.038314266574,9.442146301269531,9.442146301269531,14.593647956848145,1.1036702394485474,0.9030259847640991,637389.5442995665,0.8031116724014282
6,conv,128,4,28924.07307130758,2306.358108162199,9.436972618103027,9.436972618103027,12.541015625,1.0880486965179443,1.4732869863510132,74084.26045144923,0.8378662467002869
7,conv,256,4,6393.546253583386,601.0983079883193,3.836906671524048,3.836906671524048,10.63644027709961,0.2455899864435196,0.7605031728744507,6432.503149513282,0.7270323038101196
8,conv,256,4,1413.3666553148978,145.47474396914433,4.131977081298828,4.131977081298828,9.715546607971191,0.09128265827894211,1.160597801208496,1769.366097879838,0.5591386556625366
9,conv,256,4,409.70607757677635,53.348723376800585,2.7268645763397217,2.7268645763397217,7.679772853851318,0.06135159730911255,0.7266234159469604,322.838151909654,0.323705792427063
10,conv,256,4,124.46711448715038,32.567391988866376,1.638102412223816,1.638102412223816,3.8218324184417725,0.022396408021450043,0.4408811032772064,57.66281503813198,0.29757505655288696
11,conv,256,4,39.03905916593071,16.341362915537044,1.992942214012146,1.992942214012146,2.388972043991089,0.024182183668017387,0.5346356630325317,21.815722980320736,0.32044994831085205
12,conv,256,4,5.97594470527023,2.649171982756684,6.1684794425964355,6.1684794425964355,2.2557783126831055,0.07776845246553421,1.9040615558624268,11.843306545013133,1.0584378242492676
13,linear,256,4,15.350138301521383,1.7644143104553223,1.5014455318450928,1.5014455318450928,8.699849128723145,0.005785319488495588,0.4593641757965088,7.140109083507686,0.9371334314346313
14,linear,5,4,10.7230863571167,1.0,1.7644143104553223,1.7644143104553223,10.7230863571167,1.3208553791046143,0.3463917374610901,17.87803480958786,5.23470401763916
