layer,kind,k,bits,S_i,gamma_i,a_i,W_norm_i,H_im1,sigma_k1,eta_measured,predicted_full_term,empirical_sensitivity
0,conv,14,4,5033826937.174608,37296282.49602728,1.5367122888565063,1.5367122888565063,134.96859741210938,0.00638794619590044,0.11121074110269547,591971439.9000455,0.3920946419239044
1,conv,32,4,742694868.8882271,14129686.275570817,2.639569044113159,2.639569044113159,52.56272888183594,0.08068975061178207,0.24393919110298157,241100249.3041703,0.10293728113174438
2,conv,64,4,146768307.72546342,4864976.878580127,2.9043686389923096,2.9043686389923096,30.168346405029297,0.10202113538980484,0.34652960300445557,65833032.80313265,0.17446741461753845
3,conv,64,4,17417403.23584597,971660.7247780887,5.0068678855896,5.0068678855896,17.925395965576172,0.40897899866104126,0.5624971985816956,16920592.661402985,0.19975754618644714
4,conv,128,4,4094271.2876291173,304905.1173918412,3.1867642402648926,3.1867642402648926,13.428017616271973,0.307321697473526,0.38949933648109436,2852974.3519364363,0.20310446619987488
5,conv,128,4,328244.00723495224,37644.94109451007,8.09949779510498,8.09949779510498,8.71947193145752,0.7852166295051575,0.8272290229797363,529275.6224202188,0.2524164617061615
6,conv,128,4,35367.51919751755,4929.4755896169945,7.636703014373779,7.636703014373779,7.174702167510986,0.9854257702827454,0.9081367254257202,66970.6079186684,0.2539254426956177
7,conv,256,4,10067.838969853521,1505.2691457520102,3.274813413619995,3.274813413619995,6.6883978843688965,0.385165810585022,0.6597695350646973,10520.240793909603,0.27759674191474915
8,conv,256,4,1242.2515095182316,276.57794110553436,5.442477226257324,5.442477226257324,4.491506099700928,0.37534281611442566,1.1267224550247192,1865.9428504675145,0.198851078748703
9,conv,256,4,311.1305081588004,79.95677321674967,3.4590933322906494,3.4590933322906494,3.8912339210510254,0.27242517471313477,1.0179437398910522,401.47313611312046,0.1837652027606964
10,conv,256,4,182.5139382034784,52.53486575307002,1.5219753980636597,1.5219753980636597,3.474148750305176,0.04171214625239372,0.4157768785953522,83.4981236098311,0.2666853964328766
11,conv,256,4,22.527437857174032,15.215091903677308,3.452812910079956,3.452812910079956,1.4805982112884521,0.047792233526706696,0.7118571996688843,17.11295539955115,0.19777913391590118
12,conv,256,4,3.3374873844620576,2.0713683376853567,7.345430374145508,7.345430374145508,1.6112476587295532,0.12047571688890457,2.0205485820770264,7.145641587625516,0.5793089270591736
13,linear,256,4,14.127003288366723,1.4907829761505127,1.389449954032898,1.389449954032898,9.47623062133789,0.006009677890688181,0.3709554374217987,5.325387423619043,0.8183066844940186
14,linear,5,4,11.088518142700195,1.0,1.4907829761505127,1.4907829761505127,11.088518142700195,1.2475403547286987,0.3430202901363373,17.636960567650874,4.730254173278809
